Query, Refcode,DIST1 
3,M31K94H,1.843
3,P0SMA0J,1.846
3,5T3NOFY,2.311
3,7L570CV,2.100
3,F1XPF2S,2.232
3,DCMAXU7,2.263
3,2ES2XU4,2.335
3,PD1H951,2.200
3,ZBKGG2W,1.936
3,5WJRDAO,1.885
3,2RW4CKQ,1.898
3,98HLKLO,2.245
3,Y487Y30,2.273
3,UGA8Y08,2.215
3,1DMICYZ,2.344
3,IH0ESVF,2.333
3,XLBUIQZ,2.253
3,0GSWO2V,2.085
3,8OV1LTH,1.920
3,FJFORN8,2.095
3,OODDYHL,1.902
3,7JG1OCO,2.239
3,H6O1W0O,2.220
3,6NSME4K,2.131
3,DIX7Y3S,2.088
3,YNZ9RGS,2.137
3,V18A3OK,2.136
3,6XF2WKC,1.871
3,X9467O8,2.251
3,BRQ6THQ,1.960
3,BBC6BBB,1.870
3,6DKOG8H,2.270
3,214T9SJ,1.912
3,PECX6Q6,2.198
3,S543AEG,2.334
3,Y9CJPQM,2.117
3,3ZZN147,2.163
3,IENGBCV,2.111
3,XO1N9HW,2.132
3,WVWOQW0,2.420
3,PJCGVJY,2.092
3,EFNRDTI,2.168
3,O3NO8VQ,2.113
3,66MK89V,2.271
3,3M54OON,2.239
3,GPG1KP6,2.166
3,3G5PLAB,2.123
3,0J9ZJXV,2.054
3,MJOJL1P,2.196
3,SVNBD3E,2.171
3,BY2FSJL,2.210
3,XHCNP8T,2.118
3,W08EJBT,2.161
3,AC0YO7Y,2.214
3,17KLX6B,1.894
3,Y09AQAJ,1.909
3,VOPCG6X,2.146
3,5EJ34B9,2.199
3,FU3KKO9,1.903
3,M2EVI32,1.874
3,EINUEMG,2.226
3,ZRBLO09,2.284
3,I9B9AZT,2.162
3,97YC1VH,1.830
3,MAQIVRN,1.878
3,4EN65G7,2.271
3,RX20PFN,1.852
3,OZKA0JK,1.858
3,YKPORPL,2.220
3,T1UCH2R,2.282
3,JG6P93A,2.196
3,Z94IJ5M,1.889
3,9HX8OSV,1.936
3,WR60D3K,2.303
3,JEFXU5P,2.167
3,E0IDCR6,1.841
3,UU11SHY,1.850
3,3ZT8OVL,2.321
3,E64VEDN,2.262
3,VY2ZQGP,2.246
3,LLTVXD8,2.211
3,4GQA9U2,2.179
3,E4T6E6A,2.193
3,18QDBCC,2.142
3,XXVS4GB,2.244
3,46DQKRP,2.199
3,7Q3TZM0,2.169
3,3DIXIW4,2.187
3,7CL1P5W,2.139
3,GNTHB00,2.225
3,5HQHTR9,2.217
3,TEPE737,2.272
3,I18K51A,2.227
3,XLABZMK,2.149
3,JNBS86J,2.156
3,3EZ8361,2.204
3,UUULSS0,2.161
3,S7KJ4NB,2.108
3,DW49CPE,2.120
3,K9AFPHM,2.153
3,2OV0643,2.224
3,AIP1REE,2.173
3,JW2H8Q3,2.226
3,D6RSJSF,2.108
3,OXYR7VZ,2.147
3,FP7RPR1,2.168
3,03HZ0PR,2.220
3,HXRLG8I,2.279
3,PI0G7J0,2.247
3,ROUMYLD,2.395
3,646TTKG,2.242
3,YV9NSXI,2.203
3,0TZEH0T,2.210
3,PQHYFBC,2.153
3,VMN47GH,2.194
3,XOC1FN0,2.268
3,J7YFZBM,2.270
3,0M4BRSX,2.118
3,OYAWC4U,2.219
3,40X9G0X,2.179
3,0HHL17X,2.188
3,KQ72C15,2.306
3,9TMXK3N,2.324
3,N9RXG1Q,2.196
3,62TEC78,2.063
3,9A5IG8B,2.236
3,3DFRFDM,2.048
3,16DNBP8,2.172
3,71ZAUVK,2.189
3,WM6NO1B,2.173
3,SBH8J6H,2.140
