Query, Refcode,DIST1 
3,ACUXAY,2.226
3,ACUXAY,2.188
3,ACUXAY,2.206
3,ACUXAY,2.126
3,ACUXAY,2.155
3,ADANUP,2.130
3,ADANUP,2.138
3,ADEHIB,2.100
3,ADEHIB,2.127
3,ADEPOP,2.216
3,ADEPOP,2.177
3,ADIQOU,2.155
3,ADIQOU,2.276
3,ADIQOU,2.134
3,ADIQOU,2.067
3,ADIQOU,2.086
3,ADIQOU,2.045
3,ADIQOU,2.127
3,ADIQOU,2.119
3,ADIQOU,2.122
3,ADIQOU,2.214
3,ADIQOU,2.218
3,ADIQOU,2.252
3,ADOBAX,2.181
3,ADOBEB,2.126
3,ADUTAV,2.143
3,ADUTAV,2.134
3,AETSMN,1.916
3,AFAXIO,1.850
3,AFAXIO,1.921
3,AFAXIO,2.379
3,AFAYEL,2.195
3,AFAYEL,2.129
3,AFAYEL,2.098
3,AFAYEL,2.230
3,AFEDIZ,2.197
3,AFEGIC,2.124
3,AFEGIC,2.224
3,AFEGIC,2.149
3,AFEGIC,2.245
3,AFEJOL,2.147
3,AFEJOL,2.097
3,AFOJIP,2.443
3,AFOJIP,1.894
3,AFOJIP,1.807
3,AFOJIP,1.971
3,AFOJIP,1.937
3,AFOJIP,1.872
3,AFOJIP,1.870
3,AFOJIP,1.883
3,AFOJIP,1.871
3,AFOJIP,2.286
3,AFOJIP,2.316
3,AFOJIP,2.206
3,AFOJIP,2.361
3,AFOJIP,2.283
3,AFOJIP,2.225
3,AFOJIP,2.184
3,AFOLEN,2.128
3,AFOLEN,2.138
3,AFOLIQ,2.194
3,AFOLIQ,2.191
3,AFOLIQ,2.169
3,AFOLIQ,2.169
3,AFOLIQ01,2.185
3,AFOLIQ01,2.143
3,AFOLIQ01,2.137
3,AFOLIQ01,2.156
3,AFOLIQ02,2.174
3,AFOLIQ02,2.199
3,AFOLIQ02,2.185
3,AFOLIQ02,2.162
3,AFOLIQ03,2.198
3,AFOLIQ03,2.138
3,AFOLIQ03,2.171
3,AFOLIQ03,2.141
3,AFOLIQ04,2.168
3,AFOLIQ04,2.244
3,AFOLIQ04,2.158
3,AFOLIQ04,2.136
3,AFOLIR,2.162
3,AFOLIR,2.197
3,AFULAP,2.127
3,AFULAP,2.174
3,AFUPOH,2.252
3,AFUPOH,2.266
3,AFUPOH,2.131
3,AFUPOH,2.104
3,AGABOA,1.984
3,AGABOA,1.890
3,AGABOA,1.953
3,AGABOA,2.074
3,AGABOA,1.893
3,AGABOA,2.360
3,AGABOA,1.935
3,AGABOA,1.894
3,AGABOA,2.183
3,AGABOA,1.924
3,AGABOA,1.883
3,AGABOA,1.910
3,AGABOA,2.160
3,AGABOA,2.379
3,AGABOA01,1.988
3,AGABOA01,1.908
3,AGABOA01,1.940
3,AGABOA01,2.114
3,AGABOA01,1.919
3,AGABOA01,2.431
3,AGABOA01,1.888
3,AGABOA01,1.898
3,AGABOA01,2.252
3,AGABOA01,1.902
3,AGABOA01,1.946
3,AGABOA01,1.834
3,AGABOA01,2.219
3,AGABOA01,2.418
3,AGABOA02,1.924
3,AGABOA02,1.844
3,AGABOA02,1.959
3,AGABOA02,2.115
3,AGABOA02,1.942
3,AGABOA02,2.434
3,AGABOA02,1.964
3,AGABOA02,1.809
3,AGABOA02,2.247
3,AGABOA02,1.854
3,AGABOA02,1.886
3,AGABOA02,1.850
3,AGABOA02,2.200
3,AGABOA02,2.420
3,AGABOA03,1.952
3,AGABOA03,2.451
3,AGABOA03,1.851
3,AGABOA03,1.932
3,AGABOA03,1.997
3,AGABOA03,1.901
3,AGABOA03,2.370
3,AGABOA03,1.981
3,AGABOA03,1.841
3,AGABOA03,2.149
3,AGABOA03,1.837
3,AGABOA03,1.847
3,AGABOA03,1.867
3,AGABOA03,2.076
3,AGABOA03,2.424
3,AGABUG,1.986
3,AGABUG,1.899
3,AGABUG,1.911
3,AGABUG,2.187
3,AGABUG,1.935
3,AGABUG,2.475
3,AGABUG,1.893
3,AGABUG,1.882
3,AGABUG,2.260
3,AGABUG,1.861
3,AGABUG,1.970
3,AGABUG,1.880
3,AGABUG,2.222
3,AGABUG,2.315
3,AGACAN,1.958
3,AGACAN,2.490
3,AGACAN,1.891
3,AGACAN,1.892
3,AGACAN,2.072
3,AGACAN,1.844
3,AGACAN,2.482
3,AGACAN,1.905
3,AGACAN,1.898
3,AGACAN,2.229
3,AGACAN,1.891
3,AGACAN,1.903
3,AGACAN,1.931
3,AGACAN,2.258
3,AGACAN,2.263
