"130801 - C:\Documents and Settings\User\My Documents\Homogeneous-catalysis\Allen, Lucy\lka1079.010.spc"
"Wavelength nm.","Abs."
741.00,-0.00073
742.00,-0.00073
743.00,-0.00073
744.00,-0.00073
745.00,-0.00073
746.00,-0.00073
747.00,-0.00073
748.00,-0.00073
749.00,-0.00073
750.00,-0.00073
751.00,-0.00073
752.00,-0.00073
753.00,-0.00073
754.00,-0.00073
755.00,-0.00073
756.00,-0.00073
757.00,-0.00073
758.00,-0.00073
759.00,-0.00073
760.00,-0.00073
761.00,-0.00073
762.00,-0.00061
763.00,-0.00061
764.00,-0.00061
765.00,-0.00061
766.00,-0.00061
767.00,-0.00061
768.00,-0.00061
769.00,-0.00049
770.00,-0.00049
771.00,-0.00049
772.00,-0.00037
773.00,-0.00037
774.00,-0.00037
775.00,-0.00037
776.00,-0.00024
777.00,-0.00024
778.00,-0.00024
779.00,-0.00024
780.00,-0.00024
781.00,-0.00012
782.00,-0.00012
783.00,-0.00012
784.00,-0.00012
785.00,-0.00012
786.00,0.00000
787.00,0.00000
788.00,0.00000
789.00,0.00012
790.00,0.00024
791.00,0.00024
792.00,0.00024
793.00,0.00024
794.00,0.00037
795.00,0.00037
796.00,0.00037
797.00,0.00037
798.00,0.00037
799.00,0.00037
800.00,0.00049
801.00,0.00049
802.00,0.00049
803.00,0.00049
804.00,0.00049
805.00,0.00049
806.00,0.00061
807.00,0.00073
808.00,0.00073
809.00,0.00061
810.00,0.00061
811.00,0.00073
812.00,0.00085
813.00,0.00085
814.00,0.00085
815.00,0.00085
816.00,0.00085
817.00,0.00085
818.00,0.00098
819.00,0.00098
820.00,0.00098
821.00,0.00110
822.00,0.00110
823.00,0.00110
824.00,0.00110
825.00,0.00110
826.00,0.00122
827.00,0.00122
828.00,0.00134
829.00,0.00146
830.00,0.00159
831.00,0.00159
832.00,0.00171
833.00,0.00171
834.00,0.00171
835.00,0.00171
836.00,0.00183
837.00,0.00183
838.00,0.00183
839.00,0.00183
840.00,0.00183
841.00,0.00195
842.00,0.00195
843.00,0.00208
844.00,0.00232
845.00,0.00232
846.00,0.00232
847.00,0.00244
848.00,0.00256
849.00,0.00244
850.00,0.00256
851.00,0.00293
852.00,0.00269
853.00,0.00256
854.00,0.00293
855.00,0.00293
856.00,0.00293
857.00,0.00317
858.00,0.00317
859.00,0.00330
860.00,0.00342
861.00,0.00342
862.00,0.00342
863.00,0.00354
864.00,0.00366
865.00,0.00391
866.00,0.00391
867.00,0.00391
868.00,0.00403
869.00,0.00415
870.00,0.00427
871.00,0.00427
872.00,0.00439
873.00,0.00452
874.00,0.00464
875.00,0.00464
876.00,0.00476
877.00,0.00488
878.00,0.00488
879.00,0.00488
880.00,0.00513
881.00,0.00525
882.00,0.00525
883.00,0.00537
884.00,0.00537
885.00,0.00537
886.00,0.00537
887.00,0.00537
888.00,0.00549
889.00,0.00549
890.00,0.00562
891.00,0.00562
892.00,0.00562
893.00,0.00586
894.00,0.00598
895.00,0.00598
896.00,0.00598
897.00,0.00610
898.00,0.00610
899.00,0.00623
900.00,0.00623
