"134340 - C:\Documents and Settings\User\My Documents\Homogeneous-catalysis\Allen, Lucy\lka1079.014.spc"
"Wavelength nm.","Abs."
818.00,-0.00464
819.00,-0.00464
820.00,-0.00452
821.00,-0.00452
822.00,-0.00452
823.00,-0.00452
824.00,-0.00452
825.00,-0.00452
826.00,-0.00452
827.00,-0.00452
828.00,-0.00452
829.00,-0.00439
830.00,-0.00439
831.00,-0.00439
832.00,-0.00439
833.00,-0.00439
834.00,-0.00439
835.00,-0.00439
836.00,-0.00427
837.00,-0.00427
838.00,-0.00427
839.00,-0.00427
840.00,-0.00427
841.00,-0.00427
842.00,-0.00427
843.00,-0.00415
844.00,-0.00415
845.00,-0.00427
846.00,-0.00415
847.00,-0.00403
848.00,-0.00391
849.00,-0.00415
850.00,-0.00403
851.00,-0.00366
852.00,-0.00378
853.00,-0.00391
854.00,-0.00366
855.00,-0.00378
856.00,-0.00378
857.00,-0.00366
858.00,-0.00366
859.00,-0.00354
860.00,-0.00354
861.00,-0.00354
862.00,-0.00342
863.00,-0.00330
864.00,-0.00330
865.00,-0.00317
866.00,-0.00317
867.00,-0.00317
868.00,-0.00305
869.00,-0.00293
870.00,-0.00293
871.00,-0.00293
872.00,-0.00293
873.00,-0.00281
874.00,-0.00281
875.00,-0.00269
876.00,-0.00256
877.00,-0.00244
878.00,-0.00256
879.00,-0.00256
880.00,-0.00244
881.00,-0.00244
882.00,-0.00244
883.00,-0.00244
884.00,-0.00244
885.00,-0.00244
886.00,-0.00244
887.00,-0.00244
888.00,-0.00244
889.00,-0.00244
890.00,-0.00244
891.00,-0.00244
892.00,-0.00244
893.00,-0.00232
894.00,-0.00232
895.00,-0.00220
896.00,-0.00220
897.00,-0.00220
898.00,-0.00220
899.00,-0.00220
900.00,-0.00220
